Source,Target,R,N,Weight
забуватися,алкоголем,1,217,217.0
забуватися,алкоголізм,1,217,217.0
звичка,алкоголізм,1,203,203.0
синій,алкоголік,5,212,42.4
синіти,алкоголік,3,210,70.0
батько,алкоголік,2,203,101.5
залежний,алкоголік,2,215,107.5
сусід,алкоголік,2,212,106.0
газетяр,алкоголік,1,211,211.0
співати,алкоголік,1,214,214.0
товариш,алкоголік,1,200,200.0
залежність,алкоголь,6,211,35.166666666666664
звикати,алкоголь,3,213,71.0
посиніти,алкоголь,3,205,68.33333333333333
відмовитися,алкоголь,2,200,100.0
залежати,алкоголь,2,214,107.0
залежний,алкоголь,2,215,107.5
синіти,алкоголь,2,210,105.0
батько,алкоголь,1,203,203.0
веселощі,алкоголь,1,204,204.0
забуватися,алкоголь,1,217,217.0
забуття,алкоголь,1,201,201.0
звичка,алкоголь,1,203,203.0
звично,алкоголь,1,203,203.0
молодість,алкоголь,1,218,218.0
подобріти,алкоголь,1,201,201.0
залежність,алкогольна,4,211,52.75
залежний,алкоголю,1,215,215.0
поцікавитися,алло,1,204,204.0
молодість,алхімік,1,218,218.0
почутися,алхімія,1,201,201.0
новий,альбом,2,213,106.5
родинний,альбом,2,214,107.0
взяти,альбом,1,202,202.0
голубий,альбом,1,207,207.0
пам’ятка,альбом,1,212,212.0
пам’ятний,альбом,1,214,214.0
любов,альбом групи „ВВ”,1,206,206.0
звеселитися,„Альмінська долина”,1,202,202.0
ім’я,Альона,1,221,221.0
молодий,альпініст,1,210,210.0
вибирати,альтернатива,3,200,66.66666666666667
вибір,альтернатива,3,203,67.66666666666667
турбота,альтруїзм,1,213,213.0
байдужий,альтруїст,1,202,202.0
думати,альтруїстично,1,199,199.0
рудий,Альф,1,212,212.0
зневіра,алюміній,1,202,202.0
вигукнути,алярм,1,203,203.0
відмовитися,амбіцій,1,200,200.0
далечінь,Америка,2,201,100.5
країна,Америка,2,203,101.5
далеко,Америка,1,203,203.0
дружити,Америка,1,200,200.0
зневіритися,Америка,1,414,414.0
обман,Америка,1,224,224.0
погостювати,Америка,1,200,200.0
потерпати,Америка,1,209,209.0
байдужий,американець,1,202,202.0
спільнота,американська,1,199,199.0
новітній,американський,1,210,210.0
голос,Америки,1,202,202.0
жити,амінь,1,212,212.0
забуття,амнезія,4,201,50.25
забувати,амнезія,3,220,73.33333333333333
забуватися,амнезія,2,217,108.5
забути,амнезія,1,204,204.0
забутися,амнезія,1,199,199.0
згадувати,амнезія,1,214,214.0
звільнення,амністія,1,203,203.0
звільнити,амністія,1,203,203.0
наказати,амністія,1,199,199.0
пам’ятка,амулет,2,212,106.0
кров,аналіз,2,204,102.0
мислення,аналіз,1,217,217.0
помічний,аналіз,1,212,212.0
свідомість,аналіз,1,209,209.0
кров,аналізи,1,204,204.0
думати,аналізувати,2,199,99.5
варто,аналізувати,1,203,203.0
подумати,аналізувати,1,202,202.0
спромагатися,аналізувати,1,215,215.0
усвідомлювати,аналізувати,1,213,213.0
мислення,аналітичне,1,217,217.0
відповідний,аналогічний,2,201,100.5
ладний,аналогічно,1,213,213.0
доля,ананке,1,199,199.0
влада,анархія,1,204,204.0
воля,анархія,1,205,205.0
держава,анархія,1,214,214.0
лад,анархія,1,203,203.0
сьогодення,анархія,1,211,211.0
чинити,анархія,1,212,212.0
влада,Анархія!,1,204,204.0
ім’я,Анастасія,1,221,221.0
людина,анатомія,1,204,204.0
людина,анатомія Бамеса,1,204,204.0
небесний,ангел,19,214,11.263157894736842
білий,ангел,1,213,213.0
дитина,ангел,1,202,202.0
подобріти,ангел,1,201,201.0
світлий,ангел,1,202,202.0
світло,ангел,1,200,200.0
справжній,ангел,1,216,216.0
схвилювати,ангел,1,202,202.0
назватися,ангелом,1,198,198.0
терпіння,ангельське,4,201,50.25
терплячий,ангельське терпіння,1,213,213.0
дитина,ангелятко,1,202,202.0
байдужо,англ. мова,1,202,202.0
цікавити,англ. мова,1,217,217.0
мова,англійська,3,221,73.66666666666667
верба,англійська,1,202,202.0
дарма,англійська,1,202,202.0
сьогодення,англійська,1,211,211.0
розуміти,англійська мова,1,213,213.0
згадати,англійську,1,206,206.0
країна,Англія,1,203,203.0
називатися,Андрієм,1,211,211.0
ім’я,Андрій,4,221,55.25
півень,Андрій,3,216,72.0
брат,Андрій,1,204,204.0
вдома,Андрій,1,212,212.0
кохати,Андрій,1,215,215.0
одружитися,Андрій,1,202,202.0
розгніватися,Андрій,1,197,197.0
рудий,Андрій,1,212,212.0
увага,Андрій,1,208,208.0
чорний,Андрій,1,218,218.0
горобець,Андрій Воробей,1,201,201.0
радісний,Андрійко,1,217,217.0
коханий,Андрійчик,1,210,210.0
жарт,анекдот,17,202,11.882352941176471
жартувати,анекдот,13,208,16.0
пожартувати,анекдот,10,200,20.0
розсміятися,анекдот,10,197,19.7
сміятися,анекдот,9,215,23.88888888888889
жартома,анекдот,6,203,33.833333333333336
веселити,анекдот,5,201,40.2
веселий,анекдот,2,212,106.0
весело,анекдот,2,203,101.5
сказати,анекдот,2,205,102.5
сміх,анекдот,2,207,103.5
веселитися,анекдот,1,210,210.0
живий,анекдот,1,223,223.0
звеселитися,анекдот,1,202,202.0
згадати,анекдот,1,206,206.0
казати,анекдот,1,211,211.0
промовити,анекдотець,1,200,200.0
веселити,анекдоти,1,201,201.0
жартувати,анекдоти,1,208,208.0
сміятися,анекдоти,1,215,215.0
пожартувати,анекдотом,1,200,200.0
згадка,анекдоту,1,202,202.0
терплячий,анестезія,1,213,213.0
заздрити,анітрохи,1,216,216.0
вибори,анкета,1,212,212.0
країна,анкета,1,203,203.0
питання,анкета,1,215,215.0
вибори,анкети,1,212,212.0
питати,анкету,1,210,210.0
усвідомити,анкету,1,200,200.0
ім’я,Анна,1,221,221.0
ім’я,анонім,1,221,221.0
товариство,анонімних алкоголіків,1,211,211.0
назва,анонімність,1,216,216.0
сумно,анонімно,1,202,202.0
сміх,Анрі Бержон,1,207,207.0
народний,ансамбль,3,210,70.0
співучий,ансамбль,1,213,213.0
співучо,ансамбль,1,203,203.0
далечінь,Антарктида,1,201,201.0
чоло,антик,1,210,210.0
держава,антикучмівська,1,214,214.0
боягуз,антипатія,1,204,204.0
зло,антипатія,1,209,209.0
чужий,антипатія,1,223,223.0
спільний,антисанітарія,1,213,213.0
батько,антів,1,203,203.0
спокійний,антураж,1,215,215.0
обличчя,анфас,1,221,221.0
сестра,Анька,1,210,210.0
любити,Аню,1,207,207.0
віра,Аня,1,206,206.0
дитина,Аня,1,202,202.0
дівчина,Аня,1,201,201.0
жінка,Аня,1,201,201.0
заздрість,Аня,1,201,201.0
ім’я,Аня,1,221,221.0
кохання,Аня,1,202,202.0
любов,Аня,1,206,206.0
людина,Аня,1,204,204.0
подружжя,Аня,1,203,203.0
кров,аорта,1,204,204.0
рудий,АП!,1,212,212.0
мовний,апарат,5,211,42.2
державний,апарат,2,202,101.0
помічний,апарат,2,212,106.0
незручний,апарат,1,212,212.0
самостійність,апатичність,1,204,204.0
байдужість,апатія,3,202,67.33333333333333
збайдужіти,апатія,3,203,67.66666666666667
байдужо,апатія,2,202,101.0
зневіритися,апатія,2,414,207.0
байдужий,апатія,1,202,202.0
дармувати,апатія,1,219,219.0
захотіти,апатія,1,204,204.0
зневіра,апатія,1,202,202.0
помаранчевий,апельсин,20,228,11.4
жовтий,апельсин,2,215,107.5
з’їсти,апельсин,2,200,100.0
їжа,апельсин,1,204,204.0
їстівний,апельсин,1,213,213.0
перемогти,апельсин,1,419,419.0
рудий,апельсин,1,212,212.0
помаранчевий,"апельсин, персик",1,228,228.0
важити,апельсини,1,213,213.0
з’їсти,апельсини,1,200,200.0
помаранчевий,апельсиновий,1,228,228.0
відмова,апеляція,1,203,203.0
їжа,апетит,1,204,204.0
їсти,апетит,1,213,213.0
промова,аплодисменти,1,210,210.0
собака,апокаліптичний,1,210,210.0
порадити,аптека,1,200,200.0
покохати,араба,1,210,210.0
кров,араби,1,204,204.0
кінь,арабський,1,204,204.0
мусити,Арафат,1,213,213.0
кінь,аргамак,1,204,204.0
вагомий,аргумент,7,203,29.0
важливий,аргумент,4,203,50.75
головний,аргумент,2,202,101.0
відповідний,аргумент,1,201,201.0
вчасний,аргумент,1,201,201.0
потрібний,аргумент,1,215,215.0
зважити,аргументи,2,202,101.0
казати,аргументовано,1,211,211.0
мовний,ареал,1,211,211.0
звільнення,арешт,1,203,203.0
звільняти,арешт,1,212,212.0
вимагати,арешту,1,202,202.0
витриманий,аристократ,1,202,202.0
розуміти,арифметику,1,213,213.0
пролунати,арія,1,201,201.0
талан,аркан,1,211,211.0
чорнити,аркуш,2,202,101.0
білий,аркуш,1,213,213.0
зручний,аркуш,1,213,213.0
біліти,аркуш паперу,1,215,215.0
статися,Армагедон,1,199,199.0
очолити,армію,5,203,40.6
очолювати,армію,2,214,107.0
перемогти,армію,1,419,419.0
зобов’язаний,армія,6,213,35.5
обов’язок,армія,3,214,71.33333333333333
вороже,армія,1,204,204.0
обов’язковий,армія,1,209,209.0
син,армія,1,209,209.0
бігом,армія,1,205,205.0
брат,армія,1,204,204.0
вартувати,армія,1,214,214.0
витримка,армія,1,203,203.0
вільно,армія,1,205,205.0
ворожий,армія,1,217,217.0
журитися,армія,1,216,216.0
зобов’язувати,армія,1,213,213.0
мусити,армія,1,213,213.0
наказ,армія,1,213,213.0
наказати,армія,1,199,199.0
наказувати,армія,1,211,211.0
очолювати,армія,1,214,214.0
побоюватися,армія,1,414,414.0
послухатися,армія,1,202,202.0
спогад,армія,1,207,207.0
приємний,аромат,5,212,42.4
вечірній,аромат,1,200,200.0
відчувати,аромат,1,202,202.0
любий,аромат,1,218,218.0
неймовірний,аромат,1,212,212.0
неприємно,аромат,1,206,206.0
приємно,аромат,1,201,201.0
хвилюючий,аромат,1,203,203.0
ім’я,Арсен,1,221,221.0
вболівати,„Арсенал”,1,204,204.0
кров,артеріальна,1,204,204.0
серце,артерія,1,211,211.0
народний,артист,13,210,16.153846153846153
знаний,артист,2,212,106.0
співучий,артист,2,213,106.5
безталанний,артист,1,202,202.0
веселити,артист,1,201,201.0
жахливий,артист,1,205,205.0
свідомий,артист,1,210,210.0
повір’я,архаїзм,1,212,212.0
небесний,архангел,1,214,214.0
рід,архетип,1,211,211.0
згадка,архів,1,202,202.0
пам’ятка,архів,1,212,212.0
пам’ять,архів,1,200,200.0
владний,архієрей,1,213,213.0
пам’ятка,архітектор,1,212,212.0
уява,архітектор,1,212,212.0
уявляти,архітектор,1,213,213.0
пам’ятка,архітектура,14,212,15.142857142857142
пам’ятний,архітектура,1,214,214.0
пам’ятка,архітектури,20,212,10.6
пам’ятка,архітектурна,4,212,53.0
звільнений,асвабаждьонний,1,212,212.0
звільняти,асвабаждьонний,1,212,212.0
злитися,асимілюватися,1,213,213.0
помічний,асистент,1,212,212.0
відмова,аскетизм,1,203,203.0
вибір,асортимент,2,203,101.5
вибирати,асортимент,1,200,200.0
мислення,асоціативне,3,217,72.33333333333333
мислити,асоціативно,2,213,106.5
назва,асоціація,1,216,216.0
уява,асоціація,1,212,212.0
уявити,асоціація,1,202,202.0
мовний,аспект,4,211,52.75
важливий,аспект,1,203,203.0
питання,аспект,1,215,215.0
стриманість,аспект,1,207,207.0
неприємний,аспірант,1,211,211.0
працюватися,аспірант,1,211,211.0
подіяти,аспірин,1,199,199.0
подіятися,аспірин,1,201,201.0
жовтіти,астма,1,213,213.0
ставатися,астролог,1,202,202.0
зорі,астрономія,1,223,223.0
зорі,астрофізика,1,223,223.0
йти,асфальт,1,216,216.0
міський,асфальт,1,213,213.0
сірий,асфальт,1,212,212.0
сірість,асфальт,1,217,217.0
ходити,асфальт,1,212,212.0
чорний,асфальт,1,218,218.0
спокій,атараксія,1,211,211.0
згрішити,атеїзм,1,204,204.0
зневіритися,атеїст,1,414,414.0
хвилювати,атестація,1,213,213.0
поталанити,„Атланта” Бергамо,1,201,201.0
біг,атлет,1,202,202.0
біг,атлетика,1,202,202.0
звикнути,атмосфера,1,202,202.0
звичний,атмосфера,1,212,212.0
світ,атомна війна,1,210,210.0
гукати,ау,4,202,50.5
кликати,ау,4,213,53.25
вигукнути,ау,1,203,203.0
поклик,ау,1,198,198.0
покликати,ау,1,202,202.0
вигук,Ау!,3,212,70.66666666666667
вигукувати,Ау!,1,201,201.0
вигук,Ау...,1,212,212.0
гукати,ау-ау-ау,1,202,202.0
вразити,аудиторію,1,203,203.0
зацікавити,аудиторію,1,203,203.0
звільняти,аудиторію,1,212,212.0
хвилювати,аудиторію,1,213,213.0
мовчати,аудиторія,1,212,212.0
очолити,аудиторія,1,203,203.0
промова,аудиторія,1,210,210.0
схвилюватися,аудиторія,1,202,202.0
цікавити,аудиторія,1,217,217.0
газета,„Аудиторія”,1,201,201.0
їхати,Ауді ТТ,1,212,212.0
гукнути,а-у-у,1,204,204.0
вибори,афера,1,212,212.0
відмовитися,афера,1,200,200.0
обман,афера,1,224,224.0
сусід,аферюга,1,212,212.0
господарство,афігенно,1,214,214.0
жах,афігенно,1,204,204.0
бідність,Африка,1,204,204.0
далечінь,Африка,1,201,201.0
край,Африка,1,216,216.0
побувати,Африка,1,203,203.0
вигук,ах,1,212,212.0
дивуватися,ах,1,210,210.0
жах,ах,1,204,204.0
затужити,ах,1,208,208.0
злість,Ах ти ж!,1,204,204.0
кохання,ахання,1,202,202.0
вразливий,ахіллесова п’ята,1,200,200.0
багатий,Ахметов,1,213,213.0
бажано,б,1,205,205.0
козак,Б. Хмельницький,1,227,227.0
стара,баба,29,215,7.413793103448276
господиня,баба,2,211,105.5
постаріти,баба,2,201,100.5
старість,баба,2,209,104.5
старіти,баба,2,212,106.0
говір,баба,1,199,199.0
дівчина,баба,1,201,201.0
допомагати,баба,1,198,198.0
жаба,баба,1,203,203.0
жінка,баба,1,201,201.0
заздрісний,баба,1,213,213.0
злитися,баба,1,213,213.0
лихий,баба,1,215,215.0
ненависть,баба,1,198,198.0
погостювати,баба,1,200,200.0
потурбувати,баба,1,200,200.0
родина,баба,1,211,211.0
село,баба,1,210,210.0
сніг,баба,1,190,190.0
старий,баба,1,210,210.0
сумувати,баба,1,213,213.0
чутка,баба,1,212,212.0
далечінь,баба з дідом,1,201,201.0
повір’я,баба (моя),1,212,212.0
зло,Баба Яга,1,209,209.0
ніс,Баба Яга,1,222,222.0
стара,Баба Яга,1,215,215.0
лякати,бабаєм,2,212,106.0
страшитися,бабай,2,214,107.0
настрашитися,бабай,1,204,204.0
страшний,бабай,1,215,215.0
лякати,бабайко,1,212,212.0
стара,бабка,2,215,107.5
почути,бабка з парашутом,1,201,201.0
свиня,бабратися,1,213,213.0
народ,бабуїни,1,217,217.0
село,бабуня,1,210,210.0
стара,бабуня,1,215,215.0
помогти,бабусі,6,202,33.666666666666664
допомогти,бабусі,2,207,103.5
говір,бабусі,1,199,199.0
допомагати,бабусі,1,198,198.0
звичай,бабусі,1,203,203.0
поміч,бабусі,1,209,209.0
село,бабусі,1,210,210.0
чутка,бабусі,1,212,212.0
звільнити,бабусю,1,203,203.0
