Source,Target,SourceWord,TargetWord,R,N,Weight,Label
344,848,злість,агресія,1,204,204.0,1 / 204
456,848,наказ,агресія,1,213,213.0,1 / 213
474,848,ненавидіти,агресія,1,215,215.0,1 / 215
752,848,схвилювання,агресія,1,192,192.0,1 / 192
163,849,гнів,адреналін,1,201,201.0,1 / 201
253,849,жахнутися,адреналін,1,199,199.0,1 / 199
302,849,збентеження,адреналін,1,202,202.0,1 / 202
329,849,здивований,адреналін,1,214,214.0,1 / 214
443,849,молодь,адреналін,1,204,204.0,1 / 204
483,849,новина,адреналін,1,217,217.0,1 / 217
513,849,переляк,адреналін,1,215,215.0,1 / 215
516,849,перелякатися,адреналін,1,198,198.0,1 / 198
517,849,перемагати,адреналін,1,214,214.0,1 / 214
539,849,побоюватися,адреналін,1,414,414.0,1 / 414
752,849,схвилювання,адреналін,1,192,192.0,1 / 192
754,849,схвилюватися,адреналін,1,202,202.0,1 / 202
795,849,хвилювати,адреналін,1,213,213.0,1 / 213
831,850,щастити,азарт,2,211,105.5,2 / 211
5,850,бажання,азарт,1,204,204.0,1 / 204
65,850,вболівати,азарт,1,204,204.0,1 / 204
342,850,злитися,азарт,1,213,213.0,1 / 213
535,850,побігти,азарт,1,198,198.0,1 / 198
820,850,чоловічий,азарт,1,213,213.0,1 / 213
217,851,дія,акт,6,202,33.666666666666664,6 / 202
816,851,чинний,акт,3,210,70.0,3 / 210
206,851,державний,акт,2,202,101.0,2 / 202
109,851,відповідний,акт,1,201,201.0,1 / 201
190,851,громадський,акт,1,200,200.0,1 / 200
200,851,дармовий,акт,1,202,202.0,1 / 202
223,851,дозвіл,акт,1,202,202.0,1 / 202
493,851,одруження,акт,1,218,218.0,1 / 218
817,851,чільний,акт,1,210,210.0,1 / 210
217,852,дія,активність,3,202,67.33333333333333,3 / 202
70,852,вдень,активність,1,203,203.0,1 / 203
78,852,вечір,активність,1,211,211.0,1 / 211
152,852,вчинок,активність,1,201,201.0,1 / 201
203,852,день,активність,1,200,200.0,1 / 200
218,852,діяти,активність,1,199,199.0,1 / 199
443,852,молодь,активність,1,204,204.0,1 / 204
680,853,синій,алкоголік,5,212,42.4,5 / 212
681,853,синіти,алкоголік,3,210,70.0,3 / 210
12,853,батько,алкоголік,2,203,101.5,2 / 203
281,853,залежний,алкоголік,2,215,107.5,2 / 215
747,853,сусід,алкоголік,2,212,106.0,2 / 212
159,853,газетяр,алкоголік,1,211,211.0,1 / 211
705,853,співати,алкоголік,1,214,214.0,1 / 214
770,853,товариш,алкоголік,1,200,200.0,1 / 200
282,854,залежність,алкоголь,6,211,35.166666666666664,6 / 211
310,854,звикати,алкоголь,3,213,71.0,3 / 213
582,854,посиніти,алкоголь,3,205,68.33333333333333,3 / 205
105,854,відмовитися,алкоголь,2,200,100.0,2 / 200
280,854,залежати,алкоголь,2,214,107.0,2 / 214
281,854,залежний,алкоголь,2,215,107.5,2 / 215
681,854,синіти,алкоголь,2,210,105.0,2 / 210
12,854,батько,алкоголь,1,203,203.0,1 / 203
77,854,веселощі,алкоголь,1,204,204.0,1 / 204
267,854,забуватися,алкоголь,1,217,217.0,1 / 217
270,854,забуття,алкоголь,1,201,201.0,1 / 201
315,854,звичка,алкоголь,1,203,203.0,1 / 203
317,854,звично,алкоголь,1,203,203.0,1 / 203
440,854,молодість,алкоголь,1,218,218.0,1 / 218
553,854,подобріти,алкоголь,1,201,201.0,1 / 201
482,855,новий,альбом,2,213,106.5,2 / 213
643,855,родинний,альбом,2,214,107.0,2 / 214
82,855,взяти,альбом,1,202,202.0,1 / 202
177,855,голубий,альбом,1,207,207.0,1 / 207
510,855,пам’ятка,альбом,1,212,212.0,1 / 212
511,855,пам’ятний,альбом,1,214,214.0,1 / 214
198,856,далечінь,Америка,2,201,100.5,2 / 201
390,856,країна,Америка,2,203,101.5,2 / 203
197,856,далеко,Америка,1,203,203.0,1 / 203
235,856,дружити,Америка,1,200,200.0,1 / 200
351,856,зневіритися,Америка,1,414,414.0,1 / 414
489,856,обман,Америка,1,224,224.0,1 / 224
549,856,погостювати,Америка,1,200,200.0,1 / 200
590,856,потерпати,Америка,1,209,209.0,1 / 209
270,857,забуття,амнезія,4,201,50.25,4 / 201
266,857,забувати,амнезія,3,220,73.33333333333333,3 / 220
267,857,забуватися,амнезія,2,217,108.5,2 / 217
268,857,забути,амнезія,1,204,204.0,1 / 204
269,857,забутися,амнезія,1,199,199.0,1 / 199
327,857,згадувати,амнезія,1,214,214.0,1 / 214
464,858,небесний,ангел,19,214,11.263157894736842,19 / 214
27,858,білий,ангел,1,213,213.0,1 / 213
212,858,дитина,ангел,1,202,202.0,1 / 202
553,858,подобріти,ангел,1,201,201.0,1 / 201
667,858,світлий,ангел,1,202,202.0,1 / 202
669,858,світло,ангел,1,200,200.0,1 / 200
719,858,справжній,ангел,1,216,216.0,1 / 216
753,858,схвилювати,ангел,1,202,202.0,1 / 202
366,859,ім’я,Андрій,4,221,55.25,4 / 221
526,859,півень,Андрій,3,216,72.0,3 / 216
44,859,брат,Андрій,1,204,204.0,1 / 204
71,859,вдома,Андрій,1,212,212.0,1 / 212
389,859,кохати,Андрій,1,215,215.0,1 / 215
495,859,одружитися,Андрій,1,202,202.0,1 / 202
645,859,розгніватися,Андрій,1,197,197.0,1 / 197
654,859,рудий,Андрій,1,212,212.0,1 / 212
783,859,увага,Андрій,1,208,208.0,1 / 208
821,859,чорний,Андрій,1,218,218.0,1 / 218
246,860,жарт,анекдот,17,202,11.882352941176473,17 / 202
248,860,жартувати,анекдот,13,208,16.0,13 / 208
559,860,пожартувати,анекдот,10,200,20.0,10 / 200
649,860,розсміятися,анекдот,10,197,19.7,10 / 197
695,860,сміятися,анекдот,9,215,23.88888888888889,9 / 215
247,860,жартома,анекдот,6,203,33.833333333333336,6 / 203
74,860,веселити,анекдот,5,201,40.2,5 / 201
73,860,веселий,анекдот,2,212,106.0,2 / 212
76,860,весело,анекдот,2,203,101.5,2 / 203
687,860,сказати,анекдот,2,205,102.5,2 / 205
694,860,сміх,анекдот,2,207,103.5,2 / 207
75,860,веселитися,анекдот,1,210,210.0,1 / 210
254,860,живий,анекдот,1,223,223.0,1 / 223
309,860,звеселитися,анекдот,1,202,202.0,1 / 202
325,860,згадати,анекдот,1,206,206.0,1 / 206
376,860,казати,анекдот,1,211,211.0,1 / 211
120,861,віра,Аня,1,206,206.0,1 / 206
212,861,дитина,Аня,1,202,202.0,1 / 202
215,861,дівчина,Аня,1,201,201.0,1 / 201
258,861,жінка,Аня,1,201,201.0,1 / 201
278,861,заздрість,Аня,1,201,201.0,1 / 201
366,861,ім’я,Аня,1,221,221.0,1 / 221
388,861,кохання,Аня,1,202,202.0,1 / 202
405,861,любов,Аня,1,206,206.0,1 / 206
406,861,людина,Аня,1,204,204.0,1 / 204
555,861,подружжя,Аня,1,203,203.0,1 / 203
428,862,мовний,апарат,5,211,42.2,5 / 211
206,862,державний,апарат,2,202,101.0,2 / 202
574,862,помічний,апарат,2,212,106.0,2 / 212
470,862,незручний,апарат,1,212,212.0,1 / 212
10,863,байдужість,апатія,3,202,67.33333333333333,3 / 202
300,863,збайдужіти,апатія,3,203,67.66666666666667,3 / 203
11,863,байдужо,апатія,2,202,101.0,2 / 202
351,863,зневіритися,апатія,2,414,207.0,2 / 414
9,863,байдужий,апатія,1,202,202.0,1 / 202
201,863,дармувати,апатія,1,219,219.0,1 / 219
295,863,захотіти,апатія,1,204,204.0,1 / 204
350,863,зневіра,апатія,1,202,202.0,1 / 202
570,864,помаранчевий,апельсин,20,228,11.4,20 / 228
261,864,жовтий,апельсин,2,215,107.5,2 / 215
340,864,з’їсти,апельсин,2,200,100.0,2 / 200
368,864,їжа,апельсин,1,204,204.0,1 / 204
373,864,їстівний,апельсин,1,213,213.0,1 / 213
519,864,перемогти,апельсин,1,419,419.0,1 / 419
654,864,рудий,апельсин,1,212,212.0,1 / 212
54,865,вагомий,аргумент,7,203,29.0,7 / 203
58,865,важливий,аргумент,4,203,50.75,4 / 203
172,865,головний,аргумент,2,202,101.0,2 / 202
109,865,відповідний,аргумент,1,201,201.0,1 / 201
150,865,вчасний,аргумент,1,201,201.0,1 / 201
595,865,потрібний,аргумент,1,215,215.0,1 / 215
506,866,очолити,армію,5,203,40.6,5 / 203
507,866,очолювати,армію,2,214,107.0,2 / 214
519,866,перемогти,армію,1,419,419.0,1 / 419
354,867,зобов’язаний,армія,6,213,35.5,6 / 213
492,867,обов’язок,армія,3,214,71.33333333333333,3 / 214
139,867,вороже,армія,1,204,204.0,1 / 204
490,867,обов’язковий,армія,1,209,209.0,1 / 209
679,867,син,армія,1,209,209.0,1 / 209
21,867,бігом,армія,1,205,205.0,1 / 205
44,867,брат,армія,1,204,204.0,1 / 204
64,867,вартувати,армія,1,214,214.0,1 / 214
98,867,витримка,армія,1,203,203.0,1 / 203
119,867,вільно,армія,1,205,205.0,1 / 205
140,867,ворожий,армія,1,217,217.0,1 / 217
264,867,журитися,армія,1,216,216.0,1 / 216
357,867,зобов’язувати,армія,1,213,213.0,1 / 213
446,867,мусити,армія,1,213,213.0,1 / 213
456,867,наказ,армія,1,213,213.0,1 / 213
457,867,наказати,армія,1,199,199.0,1 / 199
458,867,наказувати,армія,1,211,211.0,1 / 211
507,867,очолювати,армія,1,214,214.0,1 / 214
539,867,побоюватися,армія,1,414,414.0,1 / 414
585,867,послухатися,армія,1,202,202.0,1 / 202
711,867,спогад,армія,1,207,207.0,1 / 207
614,868,приємний,аромат,5,212,42.4,5 / 212
79,868,вечірній,аромат,1,200,200.0,1 / 200
112,868,відчувати,аромат,1,202,202.0,1 / 202
403,868,любий,аромат,1,218,218.0,1 / 218
473,868,неймовірний,аромат,1,212,212.0,1 / 212
478,868,неприємно,аромат,1,206,206.0,1 / 206
615,868,приємно,аромат,1,201,201.0,1 / 201
797,868,хвилюючий,аромат,1,203,203.0,1 / 203
460,869,народний,артист,13,210,16.153846153846153,13 / 210
347,869,знаний,артист,2,212,106.0,2 / 212
706,869,співучий,артист,2,213,106.5,2 / 213
16,869,безталанний,артист,1,202,202.0,1 / 202
74,869,веселити,артист,1,201,201.0,1 / 201
251,869,жахливий,артист,1,205,205.0,1 / 205
658,869,свідомий,артист,1,210,210.0,1 / 210
510,870,пам’ятка,архітектура,14,212,15.142857142857142,14 / 212
511,870,пам’ятний,архітектура,1,214,214.0,1 / 214
510,871,пам’ятка,архітектури,20,212,10.6,20 / 212
428,872,мовний,аспект,4,211,52.75,4 / 211
58,872,важливий,аспект,1,203,203.0,1 / 203
524,872,питання,аспект,1,215,215.0,1 / 215
739,872,стриманість,аспект,1,207,207.0,1 / 207
192,873,гукати,ау,4,202,50.5,4 / 202
383,873,кликати,ау,4,213,53.25,4 / 213
89,873,вигукнути,ау,1,203,203.0,1 / 203
564,873,поклик,ау,1,198,198.0,1 / 198
566,873,покликати,ау,1,202,202.0,1 / 202
728,874,стара,баба,29,215,7.413793103448276,29 / 215
183,874,господиня,баба,2,211,105.5,2 / 211
587,874,постаріти,баба,2,201,100.5,2 / 201
730,874,старість,баба,2,209,104.5,2 / 209
731,874,старіти,баба,2,212,106.0,2 / 212
167,874,говір,баба,1,199,199.0,1 / 199
215,874,дівчина,баба,1,201,201.0,1 / 201
228,874,допомагати,баба,1,198,198.0,1 / 198
242,874,жаба,баба,1,203,203.0,1 / 203
258,874,жінка,баба,1,201,201.0,1 / 201
277,874,заздрісний,баба,1,213,213.0,1 / 213
342,874,злитися,баба,1,213,213.0,1 / 213
398,874,лихий,баба,1,215,215.0,1 / 215
475,874,ненависть,баба,1,198,198.0,1 / 198
549,874,погостювати,баба,1,200,200.0,1 / 200
596,874,потурбувати,баба,1,200,200.0,1 / 200
642,874,родина,баба,1,211,211.0,1 / 211
672,874,село,баба,1,210,210.0,1 / 210
696,874,сніг,баба,1,190,190.0,1 / 190
729,874,старий,баба,1,210,210.0,1 / 210
746,874,сумувати,баба,1,213,213.0,1 / 213
828,874,чутка,баба,1,212,212.0,1 / 212
575,875,помогти,бабусі,6,202,33.666666666666664,6 / 202
230,875,допомогти,бабусі,2,207,103.5,2 / 207
167,875,говір,бабусі,1,199,199.0,1 / 199
228,875,допомагати,бабусі,1,198,198.0,1 / 198
312,875,звичай,бабусі,1,203,203.0,1 / 203
573,875,поміч,бабусі,1,209,209.0,1 / 209
672,875,село,бабусі,1,210,210.0,1 / 210
828,875,чутка,бабусі,1,212,212.0,1 / 212
728,876,стара,бабуся,15,215,14.333333333333334,15 / 215
228,876,допомагати,бабуся,4,198,49.5,4 / 198
230,876,допомогти,бабуся,4,207,51.75,4 / 207
587,876,постаріти,бабуся,3,201,67.0,3 / 201
730,876,старість,бабуся,3,209,69.66666666666667,3 / 209
549,876,погостювати,бабуся,2,200,100.0,2 / 200
573,876,поміч,бабуся,2,209,104.5,2 / 209
575,876,помогти,бабуся,2,202,101.0,2 / 202
731,876,старіти,бабуся,2,212,106.0,2 / 212
179,876,господар,бабуся,1,200,200.0,1 / 200
180,876,господарка,бабуся,1,202,202.0,1 / 202
189,876,громада,бабуся,1,200,200.0,1 / 200
221,876,добрий,бабуся,1,201,201.0,1 / 201
222,876,добро,бабуся,1,200,200.0,1 / 200
227,876,домівка,бабуся,1,201,201.0,1 / 201
312,876,звичай,бабуся,1,203,203.0,1 / 203
441,876,молодіти,бабуся,1,211,211.0,1 / 211
554,876,по-доброму,бабуся,1,201,201.0,1 / 201
672,876,село,бабуся,1,210,210.0,1 / 210
729,876,старий,бабуся,1,210,210.0,1 / 210
779,876,турбота,бабуся,1,213,213.0,1 / 213
780,876,турботливий,бабуся,1,215,215.0,1 / 215
785,876,уважність,бабуся,1,203,203.0,1 / 203
728,877,стара,бабця,7,215,30.714285714285715,7 / 215
156,877,гадка,бабця,1,201,201.0,1 / 201
183,877,господиня,бабця,1,211,211.0,1 / 211
575,877,помогти,бабця,1,202,202.0,1 / 202
583,877,посіріти,бабця,1,202,202.0,1 / 202
587,877,постаріти,бабця,1,201,201.0,1 / 201
627,877,радити,бабця,1,216,216.0,1 / 216
635,877,ранок,бабця,1,212,212.0,1 / 212
642,877,родина,бабця,1,211,211.0,1 / 211
673,877,сердечний,бабця,1,212,212.0,1 / 212
730,877,старість,бабця,1,209,209.0,1 / 209
791,878,уява,багата,10,212,21.2,10 / 212
390,878,країна,багата,3,203,67.66666666666667,3 / 203
205,878,держава,багата,1,214,214.0,1 / 214
239,878,думка,багата,1,209,209.0,1 / 209
501,878,оселя,багата,1,310,310.0,1 / 310
642,878,родина,багата,1,211,211.0,1 / 211
23,0,бідний,багатий,8,210,26.25,8 / 210
128,0,владний,багатий,6,213,35.5,6 / 213
179,0,господар,багатий,3,200,66.66666666666667,3 / 200
299,0,збагатіти,багатий,2,203,101.5,2 / 203
1,0,багатіти,багатий,1,205,205.0,1 / 205
25,0,бідніти,багатий,1,202,202.0,1 / 202
26,0,бідно,багатий,1,204,204.0,1 / 204
85,0,вибір,багатий,1,203,203.0,1 / 203
118,0,вільний,багатий,1,200,200.0,1 / 200
160,0,гість,багатий,1,201,201.0,1 / 201
216,0,дім,багатий,1,201,201.0,1 / 201
239,0,думка,багатий,1,209,209.0,1 / 209
298,0,збагатити,багатий,1,205,205.0,1 / 205
412,0,майбутній,багатий,1,211,211.0,1 / 211
429,0,мовчазний,багатий,1,215,215.0,1 / 215
459,0,народ,багатий,1,217,217.0,1 / 217
468,0,незалежний,багатий,1,210,210.0,1 / 210
612,0,працюючий,багатий,1,211,211.0,1 / 211
650,0,розум,багатий,1,211,211.0,1 / 211
722,0,спроможний,багатий,1,204,204.0,1 / 204
759,0,таланити,багатий,1,213,213.0,1 / 213
25,1,бідніти,багатіти,10,202,20.2,10 / 202
22,1,бігти,багатіти,1,212,212.0,1 / 212
50,1,бувати,багатіти,1,202,202.0,1 / 202
805,1,хотітися,багатіти,1,211,211.0,1 / 211
55,2,важити,багато,27,213,7.888888888888889,27 / 213
26,2,бідно,багато,20,204,10.2,20 / 204
349,2,знати,багато,7,215,30.714285714285715,7 / 215
371,2,їсти,багато,7,213,30.428571428571427,7 / 213
191,2,гроші,багато,6,202,33.666666666666664,6 / 202
225,2,дозволяти,багато,6,201,33.5,6 / 201
288,2,заробляти,багато,6,218,36.333333333333336,6 / 218
169,2,говорити,багато,5,202,40.4,5 / 202
186,2,грішити,багато,5,200,40.0,5 / 200
433,2,могти,багато,5,213,42.6,5 / 213
804,2,хотіти,багато,5,215,43.0,5 / 215
81,2,взнати,багато,4,206,51.5,4 / 206
459,2,народ,багато,4,217,54.25,4 / 217
487,2,обіцяти,багато,4,212,53.0,4 / 212
577,2,пообіцяти,багато,4,201,50.25,4 / 201
64,2,вартувати,багато,3,214,71.33333333333333,3 / 214
224,2,дозволити,багато,3,202,67.33333333333333,3 / 202
435,2,можливість,багато,3,215,71.66666666666667,3 / 215
611,2,працюватися,багато,3,211,70.33333333333333,3 / 211
709,2,спільність,багато,3,209,69.66666666666667,3 / 209
6,2,бажано,багато,2,205,102.5,2 / 205
292,2,зауваження,багато,2,202,101.0,2 / 202
299,2,збагатіти,багато,2,203,101.5,2 / 203
328,2,згрішити,багато,2,204,102.0,2 / 204
340,2,з’їсти,багато,2,200,100.0,2 / 200
346,2,змогти,багато,2,202,101.0,2 / 202
355,2,зобов’язання,багато,2,203,101.5,2 / 203
360,2,зробити,багато,2,202,101.0,2 / 202
376,2,казати,багато,2,211,105.5,2 / 211
610,2,працювати,багато,2,214,107.0,2 / 214
710,2,спільнота,багато,2,199,99.5,2 / 199
773,2,треба,багато,2,201,100.5,2 / 201
803,2,ходити,багато,2,212,106.0,2 / 212
3,2,багатство,багато,1,203,203.0,1 / 203
5,2,бажання,багато,1,204,204.0,1 / 204
8,2,байдуже,багато,1,207,207.0,1 / 207
14,2,бачити,багато,1,203,203.0,1 / 203
53,2,вага,багато,1,203,203.0,1 / 203
76,2,весело,багато,1,203,203.0,1 / 203
77,2,веселощі,багато,1,204,204.0,1 / 204
82,2,взяти,багато,1,202,202.0,1 / 202
149,2,втрачати,багато,1,202,202.0,1 / 202
164,2,гніватися,багато,1,201,201.0,1 / 201
189,2,громада,багато,1,200,200.0,1 / 200
230,2,допомогти,багато,1,207,207.0,1 / 207
233,2,друг,багато,1,201,201.0,1 / 201
238,2,думати,багато,1,199,199.0,1 / 199
242,2,жаба,багато,1,203,203.0,1 / 203
295,2,захотіти,багато,1,204,204.0,1 / 204
298,2,збагатити,багато,1,205,205.0,1 / 205
334,2,здобути,багато,1,204,204.0,1 / 204
348,2,знання,багато,1,217,217.0,1 / 217
358,2,зорі,багато,1,223,223.0,1 / 223
372,2,їстися,багато,1,214,214.0,1 / 214
380,2,керівництво,багато,1,216,216.0,1 / 216
392,2,кров,багато,1,204,204.0,1 / 204
408,2,людяність,багато,1,217,217.0,1 / 217
413,2,мати1,багато,1,229,229.0,1 / 229
414,2,мати2,багато,1,216,216.0,1 / 216
418,2,минути,багато,1,201,201.0,1 / 201
426,2,мова,багато,1,221,221.0,1 / 221
443,2,молодь,багато,1,204,204.0,1 / 204
445,2,мріяти,багато,1,213,213.0,1 / 213
524,2,питання,багато,1,215,215.0,1 / 215
532,2,побачити,багато,1,199,199.0,1 / 199
550,2,подивитися,багато,1,199,199.0,1 / 199
556,2,подумати,багато,1,202,202.0,1 / 202
593,2,потреба,багато,1,206,206.0,1 / 206
612,2,працюючий,багато,1,211,211.0,1 / 211
616,2,прожити,багато,1,202,202.0,1 / 202
640,2,робітник,багато,1,209,209.0,1 / 209
647,2,розмовляти,багато,1,212,212.0,1 / 212
683,2,сільський,багато,1,213,213.0,1 / 213
765,2,терпець,багато,1,209,209.0,1 / 209
767,2,терпіти,багато,1,214,214.0,1 / 214
772,2,тополя,багато,1,212,212.0,1 / 212
777,2,тужити,багато,1,215,215.0,1 / 215
792,2,уявити,багато,1,202,202.0,1 / 202
793,2,уявляти,багато,1,213,213.0,1 / 213
808,2,цікавитися,багато,1,214,214.0,1 / 214
824,2,чорно,багато,1,202,202.0,1 / 202
191,3,гроші,багатство,27,202,7.481481481481482,27 / 202
24,3,бідність,багатство,13,204,15.692307692307692,13 / 204
134,3,володіння,багатство,7,204,29.142857142857142,7 / 204
135,3,володіти,багатство,6,201,33.5,6 / 201
287,3,заробіток,багатство,3,203,67.66666666666667,3 / 203
335,3,здобуток,багатство,3,203,67.66666666666667,3 / 203
348,3,знання,багатство,3,217,72.33333333333333,3 / 217
413,3,мати1,багатство,3,229,76.33333333333333,3 / 229
1,3,багатіти,багатство,2,205,102.5,2 / 205
5,3,бажання,багатство,2,204,102.0,2 / 204
127,3,влада,багатство,2,204,102.0,2 / 204
64,3,вартувати,багатство,1,214,214.0,1 / 214
81,3,взнати,багатство,1,206,206.0,1 / 206
128,3,владний,багатство,1,213,213.0,1 / 213
181,3,господарство,багатство,1,214,214.0,1 / 214
182,3,господарювати,багатство,1,200,200.0,1 / 200
222,3,добро,багатство,1,200,200.0,1 / 200
271,3,заволодіти,багатство,1,206,206.0,1 / 206
276,3,заздрити,багатство,1,216,216.0,1 / 216
278,3,заздрість,багатство,1,201,201.0,1 / 201
286,3,заробити,багатство,1,202,202.0,1 / 202
288,3,заробляти,багатство,1,218,218.0,1 / 218
299,3,збагатіти,багатство,1,203,203.0,1 / 203
333,3,здобувати,багатство,1,214,214.0,1 / 214
388,3,кохання,багатство,1,202,202.0,1 / 202
426,3,мова,багатство,1,221,221.0,1 / 221
460,3,народний,багатство,1,210,210.0,1 / 210
487,3,обіцяти,багатство,1,212,212.0,1 / 212
650,3,розум,багатство,1,211,211.0,1 / 211
735,3,страшитися,багатство,1,214,214.0,1 / 214
787,3,уряд,багатство,1,201,201.0,1 / 201
798,3,хліб,багатство,1,224,224.0,1 / 224
804,3,хотіти,багатство,1,215,215.0,1 / 215
805,3,хотітися,багатство,1,211,211.0,1 / 211
254,879,живий,бадьорий,2,223,111.5,2 / 223
174,879,голос,бадьорий,1,202,202.0,1 / 202
504,879,охочий,бадьорий,1,212,212.0,1 / 212
628,879,радісний,бадьорий,1,217,217.0,1 / 217
633,879,ранковий,бадьорий,1,214,214.0,1 / 214
635,879,ранок,бадьорий,1,212,212.0,1 / 212
691,879,сміливий,бадьорий,1,207,207.0,1 / 207
4,880,бажаний,бажана,1,202,202.0,1 / 202
124,880,вірність,бажана,1,211,211.0,1 / 211
364,880,зручність,бажана,1,205,205.0,1 / 205
368,880,їжа,бажана,1,204,204.0,1 / 204
469,880,незалежність,бажана,1,201,201.0,1 / 201
578,880,порада,бажана,1,211,211.0,1 / 211
779,880,турбота,бажана,1,213,213.0,1 / 213
6,881,бажано,бажане,1,205,205.0,1 / 205
35,881,близько,бажане,1,203,203.0,1 / 203
105,881,відмовитися,бажане,1,200,200.0,1 / 200
