Id,Name,Label
145,вразити,вразити СТ [119 / 203] РЕ [4 / 7]
146,вразливий,вразливий СТ [99 / 200]
147,втрата,втрата СТ [114 / 203] РЕ [42 / 73]
148,втратити,втратити СТ [118 / 205] РЕ [9 / 15]
149,втрачати,втрачати СТ [113 / 202] РЕ [12 / 19]
150,вчасний,вчасний СТ [96 / 201]
151,вчинити,вчинити СТ [68 / 203] РЕ [18 / 36]
152,вчинок,вчинок СТ [103 / 201] РЕ [115 / 401]
153,вчора,вчора СТ [107 / 203] РЕ [20 / 32]
154,вчорашній,вчорашній СТ [50 / 200] РЕ [5 / 10]
155,гадати,гадати СТ [63 / 203] РЕ [5 / 13]
156,гадка,гадка СТ [100 / 201]
157,газета,газета СТ [99 / 201] РЕ [20 / 54]
158,газетний,газетний СТ [76 / 202]
159,газетяр,газетяр СТ [107 / 211]
160,гість,гість СТ [118 / 201] РЕ [17 / 86]
161,глядіти,глядіти СТ [92 / 203]
162,глянути,глянути СТ [94 / 205] РЕ [16 / 50]
163,гнів,гнів СТ [121 / 201] РЕ [26 / 123]
164,гніватися,гніватися СТ [118 / 201]
165,гнівний,гнівний СТ [96 / 216]
166,гнівно,гнівно СТ [96 / 199]
167,говір,говір СТ [104 / 199]
168,говірка,говірка СТ [101 / 211]
169,говорити,говорити СТ [93 / 202] РЕ [96 / 382]
170,голова,голова СТ [95 / 200] РЕ [60 / 226]
171,головне,головне СТ [112 / 204] РЕ [7 / 8]
172,головний,головний СТ [84 / 202] РЕ [17 / 35]
173,головувати,головувати СТ [119 / 200]
174,голос,голос СТ [98 / 202] РЕ [93 / 390]
175,голосний,голосний СТ [59 / 202] РЕ [6 / 10]
176,голосно,голосно СТ [65 / 205] РЕ [39 / 219]
177,голубий,голубий СТ [65 / 207] РЕ [10 / 38]
178,горобець,горобець СТ [84 / 201] РЕ [8 / 17]
179,господар,господар СТ [100 / 200] РЕ [20 / 66]
180,господарка,господарка СТ [119 / 202] РЕ [6 / 8]
181,господарство,господарство СТ [94 / 214] РЕ [5 / 10]
182,господарювати,господарювати СТ [93 / 200]
183,господиня,господиня СТ [100 / 211] РЕ [5 / 8]
184,гостювати,гостювати СТ [107 / 201]
185,гріх,гріх СТ [124 / 201] РЕ [51 / 134]
186,грішити,грішити СТ [122 / 200]
187,грішний,грішний СТ [96 / 218]
188,грішно,грішно СТ [110 / 203]
189,громада,громада СТ [106 / 200] РЕ [6 / 22]
190,громадський,громадський СТ [62 / 200]
191,гроші,гроші СТ [99 / 202] РЕ [135 / 1033]
192,гукати,гукати СТ [71 / 202] РЕ [7 / 21]
193,гукнути,гукнути СТ [102 / 204] РЕ [4 / 8]
194,гучний,гучний СТ [76 / 218] РЕ [7 / 17]
195,гучно,гучно СТ [83 / 200] РЕ [11 / 18]
196,далекий,далекий СТ [88 / 199] РЕ [14 / 41]
197,далеко,далеко СТ [99 / 203] РЕ [60 / 146]
198,далечінь,далечінь СТ [109 / 201] РЕ [19 / 30]
199,дарма,дарма СТ [135 / 202] РЕ [11 / 18]
200,дармовий,дармовий СТ [86 / 202]
201,дармувати,дармувати СТ [104 / 219]
202,денний,денний СТ [78 / 200] РЕ [4 / 7]
203,день,день СТ [81 / 200] РЕ [128 / 1226]
204,дерево,дерево СТ [76 / 203] РЕ [38 / 301]
205,держава,держава СТ [103 / 214] РЕ [37 / 102]
206,державний,державний СТ [82 / 202] РЕ [5 / 15]
207,дивитися,дивитися СТ [81 / 199] РЕ [43 / 126]
208,дивний,дивний СТ [104 / 211] РЕ [9 / 12]
209,дивно,дивно СТ [131 / 202] РЕ [14 / 22]
210,диво,диво СТ [107 / 200] РЕ [17 / 49]
211,дивуватися,дивуватися СТ [135 / 210] РЕ [7 / 7]
212,дитина,дитина СТ [105 / 202] РЕ [73 / 126]
213,дитинство,дитинство СТ [108 / 218] РЕ [35 / 94]
214,дитячий,дитячий СТ [70 / 202]
215,дівчина,дівчина СТ [95 / 201] РЕ [82 / 249]
216,дім,дім СТ [86 / 201] РЕ [118 / 485]
217,дія,дія СТ [104 / 202] РЕ [33 / 68]
218,діяти,діяти СТ [106 / 199] РЕ [32 / 43]
219,діятися,діятися СТ [136 / 211]
220,добре,добре СТ [126 / 203] РЕ [218 / 691]
221,добрий,добрий СТ [93 / 201] РЕ [80 / 282]
222,добро,добро СТ [94 / 200] РЕ [107 / 338]
223,дозвіл,дозвіл СТ [127 / 202] РЕ [12 / 35]
224,дозволити,дозволити СТ [117 / 202]
225,дозволяти,дозволяти СТ [119 / 201]
226,доля,доля СТ [100 / 199] РЕ [51 / 122]
227,домівка,домівка СТ [98 / 201] РЕ [11 / 16]
228,допомагати,допомагати СТ [119 / 198] РЕ [19 / 45]
229,допомога,допомога СТ [115 / 201] РЕ [76 / 294]
230,допомогти,допомогти СТ [113 / 207] РЕ [33 / 77]
231,дочка,дочка СТ [108 / 203] РЕ [6 / 25]
232,дощ,дощ СТ [102 / 202] РЕ [44 / 195]
233,друг,друг СТ [93 / 201] РЕ [173 / 1104]
234,дружина,дружина СТ [91 / 216] РЕ [23 / 66]
235,дружити,дружити СТ [110 / 200] РЕ [15 / 42]
236,дуб,дуб СТ [77 / 202] РЕ [13 / 62]
237,дума,дума СТ [101 / 201] РЕ [9 / 10]
238,думати,думати СТ [119 / 199] РЕ [112 / 423]
239,думка,думка СТ [126 / 209] РЕ [106 / 407]
240,дурний,дурний СТ [101 / 218] РЕ [31 / 46]
241,душа,душа СТ [100 / 223] РЕ [77 / 142]
242,жаба,жаба СТ [91 / 203] РЕ [14 / 25]
243,жаліти,жаліти СТ [118 / 198] РЕ [7 / 14]
244,жалкувати,жалкувати СТ [124 / 217]
245,жаль,жаль СТ [118 / 202] РЕ [36 / 70]
246,жарт,жарт СТ [83 / 202] РЕ [22 / 63]
247,жартома,жартома СТ [89 / 203]
248,жартувати,жартувати СТ [101 / 208] РЕ [9 / 10]
249,жах,жах СТ [105 / 204] РЕ [52 / 131]
250,жахатися,жахатися СТ [111 / 212]
251,жахливий,жахливий СТ [89 / 205] РЕ [6 / 15]
252,жахливо,жахливо СТ [123 / 203] РЕ [8 / 8]
253,жахнутися,жахнутися СТ [123 / 199]
254,живий,живий СТ [118 / 223] РЕ [7 / 7]
255,жити,жити СТ [109 / 212] РЕ [128 / 475]
256,жито,жито СТ [72 / 202]
257,життя,життя СТ [125 / 212] РЕ [217 / 650]
258,жінка,жінка СТ [114 / 201] РЕ [50 / 205]
259,жіночий,жіночий СТ [80 / 220] РЕ [3 / 19]
260,жовкнути,жовкнути СТ [90 / 220]
261,жовтий,жовтий СТ [84 / 215] РЕ [23 / 56]
262,жовтіти,жовтіти СТ [102 / 213] РЕ [6 / 17]
263,журба,журба СТ [117 / 201] РЕ [13 / 27]
264,журитися,журитися СТ [124 / 216]
265,забракнути,забракнути СТ [82 / 202]
266,забувати,забувати СТ [115 / 220] РЕ [8 / 17]
267,забуватися,забуватися СТ [154 / 217]
268,забути,забути СТ [124 / 204] РЕ [25 / 38]
269,забутися,забутися СТ [136 / 199]
270,забуття,забуття СТ [134 / 201] РЕ [6 / 11]
271,заволодіти,заволодіти СТ [110 / 206]
272,завтра,завтра СТ [103 / 202] РЕ [29 / 81]
273,завтрашній,завтрашній СТ [45 / 218]
274,заговорити,заговорити СТ [144 / 204] РЕ [7 / 13]
275,зажуритися,зажуритися СТ [121 / 201]
276,заздрити,заздрити СТ [118 / 216] РЕ [7 / 7]
277,заздрісний,заздрісний СТ [105 / 213]
278,заздрість,заздрість СТ [132 / 201] РЕ [23 / 43]
279,заладнати,заладнати СТ [67 / 200]
280,залежати,залежати СТ [106 / 214] РЕ [6 / 7]
281,залежний,залежний СТ [113 / 215]
282,залежність,залежність СТ [116 / 211] РЕ [19 / 26]
283,замовчати,замовчати СТ [127 / 200]
284,запам’ятати,запам’ятати СТ [95 / 200] РЕ [7 / 12]
285,запитати,запитати СТ [115 / 199] РЕ [13 / 20]
286,заробити,заробити СТ [64 / 202]
287,заробіток,заробіток СТ [87 / 203] РЕ [9 / 32]
288,заробляти,заробляти СТ [66 / 218] РЕ [4 / 9]
289,засоромитися,засоромитися СТ [122 / 200]
290,заспівати,заспівати СТ [80 / 203]
291,затужити,затужити СТ [114 / 208]
292,зауваження,зауваження СТ [136 / 202]
293,зауважити,зауважити СТ [125 / 203]
294,захмаритися,захмаритися СТ [81 / 204]
295,захотіти,захотіти СТ [110 / 204]
296,захотітися,захотітися СТ [113 / 202]
297,зацікавити,зацікавити СТ [112 / 203]
298,збагатити,збагатити СТ [106 / 205]
299,збагатіти,збагатіти СТ [111 / 203]
300,збайдужіти,збайдужіти СТ [125 / 203]
301,збентежений,збентежений СТ [131 / 211] РЕ [4 / 8]
302,збентеження,збентеження СТ [138 / 202] РЕ [7 / 8]
303,збентежити,збентежити СТ [111 / 201] РЕ [3 / 15]
304,збентежитися,збентежитися СТ [150 / 203] РЕ [2 / 7]
305,збідніти,збідніти СТ [124 / 198]
306,збрехати,збрехати СТ [115 / 205] РЕ [3 / 7]
307,зважити,зважити СТ [118 / 202]
308,звеселити,звеселити СТ [93 / 199]
309,звеселитися,звеселитися СТ [130 / 202]
310,звикати,звикати СТ [146 / 213]
311,звикнути,звикнути СТ [125 / 202]
312,звичай,звичай СТ [89 / 203] РЕ [10 / 25]
313,звичайний,звичайний СТ [99 / 212] РЕ [7 / 8]
314,звичайно,звичайно СТ [118 / 205] РЕ [14 / 15]
315,звичка,звичка СТ [106 / 203] РЕ [21 / 44]
316,звичний,звичний СТ [108 / 212]
317,звично,звично СТ [126 / 203]
318,звільнений,звільнений СТ [103 / 212]
319,звільнення,звільнення СТ [103 / 203]
320,звільнити,звільнити СТ [112 / 203]
321,звільнитися,звільнитися СТ [124 / 204]
322,звільняти,звільняти СТ [97 / 212]
323,звільнятися,звільнятися СТ [111 / 214]
324,звір,звір СТ [71 / 201] РЕ [32 / 86]
325,згадати,згадати СТ [108 / 206] РЕ [12 / 22]
326,згадка,згадка СТ [114 / 202] РЕ [9 / 27]
327,згадувати,згадувати СТ [106 / 214]
328,згрішити,згрішити СТ [125 / 204]
329,здивований,здивований СТ [126 / 214] РЕ [4 / 15]
330,здивовано,здивовано СТ [99 / 203]
331,здивування,здивування СТ [110 / 202] РЕ [21 / 40]
332,здивуватися,здивуватися СТ [125 / 200] РЕ [10 / 10]
333,здобувати,здобувати СТ [76 / 214]
334,здобути,здобути СТ [75 / 204] РЕ [11 / 15]
335,здобуток,здобуток СТ [122 / 203]
336,зелений,зелений СТ [70 / 205] РЕ [27 / 52]
337,зеленіти,зеленіти СТ [96 / 215] РЕ [6 / 13]
338,земля,земля СТ [109 / 206] РЕ [50 / 171]
339,зірка,зірка СТ [103 / 217] РЕ [15 / 23]
340,з’їсти,з’їсти СТ [103 / 200] РЕ [11 / 15]
341,злий,злий СТ [78 / 214] РЕ [35 / 222]
342,злитися,злитися СТ [142 / 213] РЕ [14 / 41]
343,зліва,зліва СТ [76 / 201] РЕ [3 / 24]
344,злість,злість СТ [131 / 204] РЕ [73 / 243]
345,зло,зло СТ [102 / 209] РЕ [98 / 367]
346,змогти,змогти СТ [109 / 202] РЕ [7 / 15]
347,знаний,знаний СТ [106 / 212]
348,знання,знання СТ [121 / 217] РЕ [68 / 152]
349,знати,знати СТ [112 / 215] РЕ [62 / 177]
350,зневіра,зневіра СТ [139 / 202]
351,зневіритися,зневіритися СТ [204 / 414]
352,зневірятися,зневірятися СТ [127 / 215]
353,зненавидіти,зненавидіти СТ [92 / 205]
354,зобов’язаний,зобов’язаний СТ [121 / 213]
355,зобов’язання,зобов’язання СТ [126 / 203] РЕ [11 / 23]
356,зобов’язати,зобов’язати СТ [108 / 203]
357,зобов’язувати,зобов’язувати СТ [123 / 213]
358,зорі,зорі СТ [72 / 223] РЕ [19 / 69]
359,зрадіти,зрадіти СТ [139 / 200] РЕ [11 / 18]
360,зробити,зробити СТ [96 / 202] РЕ [98 / 600]
361,зробитися,зробитися СТ [110 / 200]
362,зрозуміти,зрозуміти СТ [115 / 201] РЕ [37 / 84]
363,зручний,зручний СТ [96 / 213]
364,зручність,зручність СТ [107 / 205]
365,зручно,зручно СТ [101 / 201] РЕ [6 / 11]
366,ім’я,ім’я СТ [108 / 221] РЕ [22 / 333]
367,інколи,інколи СТ [88 / 218] РЕ [31 / 57]
368,їжа,їжа СТ [110 / 204] РЕ [36 / 81]
369,їзда,їзда СТ [80 / 202]
370,їздити,їздити СТ [95 / 217]
371,їсти,їсти СТ [117 / 213] РЕ [48 / 116]
372,їстися,їстися СТ [132 / 214]
373,їстівний,їстівний СТ [70 / 213]
374,їхати,їхати СТ [109 / 212] РЕ [20 / 34]
375,йти,йти СТ [105 / 216] РЕ [32 / 89]
376,казати,казати СТ [83 / 211] РЕ [16 / 23]
377,калина,калина СТ [52 / 220] РЕ [9 / 14]
378,керівний,керівний СТ [77 / 212]
379,керівник,керівник СТ [111 / 205] РЕ [31 / 72]
380,керівництво,керівництво СТ [134 / 216] РЕ [6 / 8]
381,керувати,керувати СТ [95 / 208] РЕ [13 / 55]
382,кінь,кінь СТ [103 / 204] РЕ [30 / 89]
383,кликати,кликати СТ [83 / 213] РЕ [6 / 39]
384,козак,козак СТ [104 / 227] РЕ [12 / 15]
385,коричневий,коричневий СТ [83 / 207] РЕ [5 / 10]
386,коріння,коріння СТ [94 / 205]
387,коханий,коханий СТ [65 / 210] РЕ [29 / 68]
388,кохання,кохання СТ [114 / 202] РЕ [99 / 210]
389,кохати,кохати СТ [112 / 215] РЕ [35 / 72]
390,країна,країна СТ [70 / 203] РЕ [20 / 60]
391,край,край СТ [97 / 216] РЕ [27 / 91]
392,кров,кров СТ [106 / 204] РЕ [30 / 63]
393,курка,курка СТ [65 / 198] РЕ [5 / 37]
394,лад,лад СТ [104 / 203] РЕ [9 / 10]
395,ладен,ладен СТ [116 / 217]
396,ладнати,ладнати СТ [107 / 207]
397,ладний,ладний СТ [108 / 213]
398,лихий,лихий СТ [86 / 215]
399,лихо,лихо СТ [100 / 205] РЕ [20 / 37]
400,лівий,лівий СТ [78 / 216] РЕ [1 / 48]
401,луна,луна СТ [77 / 203] РЕ [8 / 14]
402,лунати,лунати СТ [86 / 212]
403,любий,любий СТ [100 / 218] РЕ [9 / 23]
404,любити,любити СТ [104 / 207] РЕ [74 / 145]
405,любов,любов СТ [126 / 206] РЕ [125 / 352]
406,людина,людина СТ [117 / 204] РЕ [238 / 581]
407,людяний,людяний СТ [106 / 220]
408,людяність,людяність СТ [93 / 217] РЕ [7 / 13]
409,лякати,лякати СТ [114 / 212]
410,лякатися,лякатися СТ [101 / 202] РЕ [8 / 24]
411,майбутнє,майбутнє СТ [118 / 221] РЕ [88 / 225]
412,майбутній,майбутній СТ [106 / 211] РЕ [7 / 15]
413,мати1,мати1 СТ [115 / 229]
414,мати2,мати2 СТ [110 / 216]
415,минати,минати СТ [110 / 211]
416,минуле,минуле СТ [109 / 213] РЕ [45 / 227]
417,минулий,минулий СТ [76 / 212] РЕ [5 / 23]
418,минути,минути СТ [120 / 201]
419,мислення,мислення СТ [99 / 217] РЕ [18 / 35]
420,мислити,мислити СТ [88 / 213] РЕ [20 / 44]
421,міркування,міркування СТ [96 / 201]
422,міркувати,міркувати СТ [120 / 215] РЕ [12 / 18]
423,місто,місто СТ [96 / 219] РЕ [32 / 57]
424,міський,міський СТ [69 / 213] РЕ [4 / 9]
425,місяць,місяць СТ [77 / 218] РЕ [39 / 164]
426,мова,мова СТ [79 / 221] РЕ [47 / 150]
427,мовити,мовити СТ [86 / 214] РЕ [11 / 16]
428,мовний,мовний СТ [105 / 211]
429,мовчазний,мовчазний СТ [115 / 215]
430,мовчання,мовчання СТ [112 / 201] РЕ [11 / 11]
431,мовчати,мовчати СТ [129 / 212] РЕ [27 / 42]
432,мовчки,мовчки СТ [100 / 202] РЕ [11 / 12]
433,могти,могти СТ [99 / 213] РЕ [14 / 51]
434,можливий,можливий СТ [106 / 211]
435,можливість,можливість СТ [136 / 215] РЕ [39 / 72]
436,можливо,можливо СТ [118 / 200] РЕ [22 / 23]
437,можна,можна СТ [107 / 199] РЕ [31 / 41]
438,молода,молода СТ [62 / 215] РЕ [8 / 16]
439,молодий,молодий СТ [97 / 210] РЕ [16 / 39]
440,молодість,молодість СТ [124 / 218] РЕ [27 / 64]
441,молодіти,молодіти СТ [120 / 211] РЕ [4 / 9]
442,молодо,молодо СТ [82 / 207]
443,молодь,молодь СТ [132 / 204] РЕ [9 / 12]
444,мрія,мрія СТ [130 / 216] РЕ [69 / 157]
445,мріяти,мріяти СТ [140 / 213] РЕ [21 / 41]
446,мусити,мусити СТ [101 / 213] РЕ [8 / 10]
447,наближати,наближати СТ [120 / 211]
448,наближатися,наближатися СТ [112 / 211]
449,наблизити,наблизити СТ [117 / 199]
450,наблизитися,наблизитися СТ [119 / 207]
451,назва,назва СТ [118 / 216] РЕ [6 / 14]
452,назвати,назвати СТ [82 / 205]
453,назватися,назватися СТ [85 / 198]
454,називати,називати СТ [79 / 216]
455,називатися,називатися СТ [92 / 211]
456,наказ,наказ СТ [140 / 213] РЕ [13 / 33]
457,наказати,наказати СТ [124 / 199]
458,наказувати,наказувати СТ [134 / 211]
459,народ,народ СТ [117 / 217] РЕ [68 / 156]
460,народний,народний СТ [82 / 210] РЕ [1 / 28]
461,насмілитися,насмілитися СТ [95 / 204]
462,насправді,насправді СТ [115 / 204] РЕ [7 / 7]
463,настрашитися,настрашитися СТ [122 / 204]
464,небесний,небесний СТ [100 / 214]
465,небо,небо СТ [69 / 221] РЕ [71 / 787]
466,невірно,невірно СТ [97 / 204]
467,недарма,недарма СТ [111 / 205]
468,незалежний,незалежний СТ [98 / 210] РЕ [10 / 23]
469,незалежність,незалежність СТ [90 / 201] РЕ [15 / 74]
470,незручний,незручний СТ [104 / 212]
471,незручність,незручність СТ [129 / 201] РЕ [17 / 23]
472,незручно,незручно СТ [113 / 202] РЕ [10 / 22]
473,неймовірний,неймовірний СТ [114 / 212]
474,ненавидіти,ненавидіти СТ [123 / 215] РЕ [11 / 20]
475,ненависть,ненависть СТ [106 / 198] РЕ [28 / 73]
476,неприємний,неприємний СТ [80 / 211] РЕ [20 / 23]
477,неприємність,неприємність СТ [136 / 213] РЕ [37 / 57]
478,неприємно,неприємно СТ [127 / 206] РЕ [34 / 49]
479,ніс,ніс СТ [80 / 222] РЕ [19 / 50]
480,ніч,ніч СТ [80 / 222] РЕ [74 / 468]
481,нічний,нічний СТ [87 / 212] РЕ [4 / 13]
482,новий,новий СТ [97 / 213] РЕ [15 / 35]
483,новина,новина СТ [92 / 217] РЕ [31 / 57]
484,новітній,новітній СТ [96 / 210]
485,нога,нога СТ [88 / 220] РЕ [10 / 35]
486,обіцянка,обіцянка СТ [104 / 214] РЕ [12 / 29]
487,обіцяти,обіцяти СТ [140 / 212]
488,обличчя,обличчя СТ [111 / 221] РЕ [36 / 81]
489,обман,обман СТ [101 / 224] РЕ [14 / 34]
490,обов’язковий,обов’язковий СТ [124 / 209] РЕ [8 / 12]
491,обов’язково,обов’язково СТ [117 / 202] РЕ [17 / 23]
492,обов’язок,обов’язок СТ [129 / 214] РЕ [83 / 242]
493,одруження,одруження СТ [116 / 218] РЕ [10 / 13]
494,одружити,одружити СТ [113 / 204]
495,одружитися,одружитися СТ [119 / 202]
496,одружувати,одружувати СТ [125 / 211]
497,одружуватися,одружуватися СТ [124 / 213]
498,озлитися,озлитися СТ [109 / 199]
499,око,око СТ [103 / 217] РЕ [23 / 53]
500,оселитися,оселитися СТ [102 / 205]
501,оселя,оселя СТ [120 / 310] РЕ [12 / 31]
502,оселятися,оселятися СТ [102 / 209]
503,охоче,охоче СТ [125 / 202]
